,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,zip_code,totalIns
0,19,NRGIZE LIFESTYLE CAFE,"1200 VAN NESS AVE, 3RD FLOOR",San Francisco,CA,94109,37.786848,-122.421547,+14157763262,94109,2
1,24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,"500 CALIFORNIA ST, 2ND  FLOOR",San Francisco,CA,94104,37.792888,-122.403135,+14156779494,94104,3
2,31,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST ,San Francisco,CA,94133,37.807155,-122.419004,,94133,1
3,45,CHARLIE'S DELI CAFE,3202 FOLSOM ST ,San Francisco,CA,94110,37.747114,-122.413641,+14156415051,94110,4
4,48,ART'S CAFE,747 IRVING ST ,San Francisco,CA,94122,37.764013,-122.465749,+14156657440,94122,2
5,54,RHODA GOLDMAN PLAZA,2180 POST ST ,San Francisco,CA,94115,37.784626,-122.437734,+14153455060,94115,2
6,56,CAFE X + O,1799 CHURCH ST ,San Francisco,CA,94131,37.742325,-122.426476,+14158263535,94131,3
7,58,OASIS GRILL,91 DRUMM ST ,San Francisco,CA,94111,37.794483,-122.396584,+14158341942,94111,2
8,61,CHOWDERS,PIER 39  SPACE A3,San Francisco,CA,94133,37.808240000000005,-122.41018899999999,+14153914737,94133,4
9,66,STARBUCKS COFFEE,1800 IRVING ST ,San Francisco,CA,94122,37.763578,-122.477461,+14152427970,94122,4
10,67,REVOLUTION CAFE,3248 22ND ST ,San Francisco,CA,94110,37.755419,-122.41954199999999,+14156420474,94110,4
11,73,DINO'S UNCLE VITO,2101 FILLMORE ST ,San Francisco,CA,94115,37.788932,-122.43389499999999,+14159224700,94115,3
12,76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,"500 CALIFORNIA ST, 3RD FLOOR",San Francisco,CA,94104,37.792888,-122.403135,+14156779494,94104,3
13,77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,"500 CALIFORNIA ST, BASEMENT",San Francisco,CA,94104,37.792888,-122.403135,+14156779494,94104,3
14,80,LAW SCHOOL CAFE,2199 FULTON ST ,San Francisco,CA,94117,37.774941,-122.452797,+14154222268,94117,2
15,81,BON APETTIT @ USF- CLUB ED,2350 TURK BLVD ,San Francisco,CA,94117,37.778468,-122.44848400000001,+14153064802,94117,2
16,88,J.B.'S PLACE,1435 17TH ST ,San Francisco,CA,94107,37.765003,-122.39808400000001,+14155848446,94107,3
17,95,VEGA,419 CORTLAND AVE ,San Francisco,CA,94110,37.739207,-122.417447,+14152856000,94110,4
18,98,XOX TRUFFLES,754 COLUMBUS AVE ,San Francisco,CA,94133,37.801665,-122.412104,+14154214814,94133,3
19,99,J & M A-1 CAFE RESTAURANT LLC,779 CLAY ST ,San Francisco,CA,94108,37.794292999999996,-122.40596699999999,+14156057219,94108,2
20,101,CABLE CAR CORNER,1099 POWELL ST ,San Francisco,CA,94108,37.794615,-122.409705,+14153625925,94108,3
21,102,AKIKO'S SUSHI BAR,542A MASON ST ,San Francisco,CA,94102,37.788484000000004,-122.410045,+14159898218,94102,3
22,108,RUE LEPIC,900 PINE ST,San Francisco,CA,94108,37.790867999999996,-122.410854,+14154746070,94108,1
23,116,THE WATERFRONT RESTAURANT,PIER 7 EMBARCADERO,San Francisco,CA,94111,37.793874,-122.396464,+14153912696,94111,2
24,121,AKIKOS SUSHI,431 BUSH ST ,San Francisco,CA,94108,37.790642999999996,-122.404676,+14153973218,94108,2
25,125,CENTERFOLDS,391 BROADWAY ST ,San Francisco,CA,94133,37.798233,-122.40363700000002,+14158340662,94133,2
26,134,MINT,400 MCALLISTER ST,San Francisco,CA,94102,37.780246999999996,-122.418974,+14155515942,94102,2
27,140,CAFE MADELEINE,300 CALIFORNIA ST ,San Francisco,CA,94104,37.793268,-122.400323,+14153623332,94104,3
28,141,AFC SUSHI @ MOLLIE STONE'S 2,2435 CALIFORNIA ST ,San Francisco,CA,94115,37.788773,-122.434697,+14155674902,94115,2
29,146,DEJA VU PIZZA & PASTA,3227 16TH ST ,San Francisco,CA,94103,37.764713,-122.42470900000001,+14152551600,94103,3
30,151,BUS STOP PIZZA #1,256 DIVISADERO ST ,San Francisco,CA,94117,37.771487,-122.43704699999999,+14156269119,94117,2
31,155,CAFE COLE,609 COLE ST ,San Francisco,CA,94117,37.769303,-122.450724,+14156687771,94117,3
32,164,LADLE & LEAF,"50 POST ST, 3RD FLOOR",San Francisco,CA,94104,37.789064,-122.40286100000002,+14155663871,94104,3
33,180,NENAS RESTAURANT,3459 MISSION ST ,San Francisco,CA,94110,37.74146,-122.42248400000001,+14152858985,94110,4
34,184,RADIO HABANA,1109 VALENCIA ST,San Francisco,CA,94110,37.755124,-122.42091599999999,+14158247659,94110,2
35,187,TAZA WRAPS & JUICE,"750 FONT, BLDG B BLVD ",San Francisco,CA,94132,37.723054,-122.48361200000001,+14153774525,94132,3
36,190,COURTYARD BY MARRIOTT-STAFF KITCHEN,299 02ND ST ,San Francisco,CA,94105,37.785614,-122.396693,+14159470700,94105,3
37,192,ARLEQUIN,384 B HAYES ST ,San Francisco,CA,94102,37.777014,-122.42234499999999,+14158642693,94102,2
38,194,BAYSIDE COFFEE SHOP,2011 BAYSHORE BLVD ,San Francisco,CA,94134,37.715126,-122.398901,+14154672023,94134,2
39,198,SUBWAY,3801 03RD ST 310,San Francisco,CA,94124,37.741828999999996,-122.388098,+14158244721,94124,3
40,200,JIM'S SMOKE SHOP,600 20TH ST ,San Francisco,CA,94107,37.760568,-122.387772,+14156266750,94107,2
41,208,CONSTANS GROCERY,4124 03RD ST ,San Francisco,CA,94124,37.739961,-122.389003,+14158244281,94124,2
42,216,SORABOL,101 SPEAR ST A12,San Francisco,CA,94105,37.792577,-122.393992,+14158965959,94105,1
43,217,PROGRESSIVE GROUNDS,400 CORTLAND AVE ,San Francisco,CA,94110,37.739143,-122.417653,+14158318616,94110,5
44,226,GRUMPY'S AMERICAN PUB,125 VALLEJO ST ,San Francisco,CA,94111,37.799594,-122.400586,+14154343350,94111,1
45,231,CAFFE PUCCINI,411 COLUMBUS AVE ,San Francisco,CA,94133,37.799087,-122.40848799999999,+14159897033,94133,2
46,236,GELATO CLASSICO ITALIAN ICE,576 UNION ST ,San Francisco,CA,94133,37.800543,-122.40878400000001,+14153916667,94133,2
47,239,JUST WONTON,1241 VICENTE ST ,San Francisco,CA,94116,37.739063,-122.48040900000001,+14156812999,94116,2
48,240,MIKI RESTAURANT,3639 BALBOA ST ,San Francisco,CA,94121,37.775663,-122.497949,+14153870874,94121,2
49,247,TOY BOAT DESSERT CAFE,401 CLEMENT ST ,San Francisco,CA,94118,37.782953000000006,-122.46351000000001,+14157517505,94118,2
50,251,BEANERY INC.,602 IRVING ST ,San Francisco,CA,94122,37.764148,-122.46439099999999,+14156611090,94122,1
51,253,ANN'S DONUT COFFEE SHOP,4488 MISSION ST ,San Francisco,CA,94112,37.725949,-122.43390600000001,+14153341761,94112,3
