,business_id,score,date,type,score_level,diffFromPrev,prevScore
0,19,94,20160513,routine,4,,
1,19,94,20171211,routine,4,0.0,94.0
2,24,96,20160311,routine,4,,
3,24,98,20161005,routine,4,2.0,96.0
4,24,98,20171101,routine,4,0.0,98.0
5,31,98,20151204,routine,4,,
6,45,78,20160104,routine,2,,
7,45,84,20160614,routine,2,6.0,78.0
8,45,88,20170307,routine,3,4.0,84.0
9,45,85,20170914,routine,2,-3.0,88.0
10,48,94,20160630,routine,4,,
11,48,94,20180216,routine,4,0.0,94.0
12,54,100,20150526,routine,4,,
13,54,87,20170215,routine,3,-13.0,100.0
14,56,88,20151222,routine,3,,
15,56,90,20160802,routine,3,2.0,88.0
16,56,92,20170420,routine,4,2.0,90.0
17,58,73,20160407,routine,2,,
18,58,70,20170918,routine,1,-3.0,73.0
19,61,92,20150827,routine,4,,
20,61,94,20160708,routine,4,2.0,92.0
21,61,98,20170124,routine,4,4.0,94.0
22,61,94,20171128,routine,4,-4.0,98.0
23,66,100,20150828,routine,4,,
24,66,98,20160322,routine,4,-2.0,100.0
25,66,100,20160902,routine,4,2.0,98.0
26,66,96,20170703,routine,4,-4.0,100.0
27,67,90,20150520,routine,3,,
28,67,87,20160401,routine,3,-3.0,90.0
29,67,94,20161019,routine,4,7.0,87.0
30,67,81,20170804,routine,2,-13.0,94.0
31,73,85,20150717,routine,2,,
32,73,92,20160927,routine,4,7.0,85.0
33,73,88,20171129,routine,3,-4.0,92.0
34,76,100,20160311,routine,4,,
35,76,98,20161005,routine,4,-2.0,100.0
36,76,100,20171101,routine,4,2.0,98.0
37,77,91,20160311,routine,4,,
38,77,96,20161005,routine,4,5.0,91.0
39,77,94,20171101,routine,4,-2.0,96.0
40,80,98,20160412,routine,4,,
41,80,96,20171204,routine,4,-2.0,98.0
42,81,96,20150330,routine,4,,
43,81,98,20171205,routine,4,2.0,96.0
44,88,89,20150824,routine,3,,
45,88,92,20170111,routine,4,3.0,89.0
46,88,82,20171016,routine,2,-10.0,92.0
47,95,88,20151210,routine,3,,
48,95,86,20160718,routine,3,-2.0,88.0
49,95,92,20170307,routine,4,6.0,86.0
50,95,83,20171016,routine,2,-9.0,92.0
51,98,94,20150629,routine,4,,
52,98,96,20160316,routine,4,2.0,94.0
53,98,94,20171003,routine,4,-2.0,96.0
54,99,76,20150811,routine,2,,
55,99,82,20171207,routine,2,6.0,76.0
56,101,98,20160525,routine,4,,
57,101,90,20170627,routine,3,-8.0,98.0
58,101,92,20180129,routine,4,2.0,90.0
59,102,100,20150609,routine,4,,
60,102,85,20161103,routine,2,-15.0,100.0
61,102,92,20170728,routine,4,7.0,85.0
62,108,94,20150417,routine,4,,
63,116,76,20160527,routine,2,,
64,116,96,20170509,routine,4,20.0,76.0
65,121,86,20151020,routine,3,,
66,121,90,20170418,routine,3,4.0,86.0
67,125,92,20160520,routine,4,,
68,125,90,20170719,routine,3,-2.0,92.0
69,134,98,20150806,routine,4,,
70,134,93,20170214,routine,4,-5.0,98.0
71,140,85,20160414,routine,2,,
72,140,77,20171011,routine,2,-8.0,85.0
73,140,86,20180105,routine,3,9.0,77.0
74,141,100,20160627,routine,4,,
75,141,100,20170505,routine,4,0.0,100.0
76,146,91,20150723,routine,4,,
77,146,84,20160407,routine,2,-7.0,91.0
78,146,84,20161017,routine,2,0.0,84.0
79,151,87,20150520,routine,3,,
80,151,92,20160726,routine,4,5.0,87.0
81,155,87,20150610,routine,3,,
82,155,100,20151229,routine,4,13.0,87.0
83,155,79,20170227,routine,2,-21.0,100.0
84,164,96,20151106,routine,4,,
85,164,87,20161110,routine,3,-9.0,96.0
86,164,83,20170908,routine,2,-4.0,87.0
87,180,88,20160106,routine,3,,
88,180,98,20160617,routine,4,10.0,88.0
89,180,94,20161220,routine,4,-4.0,98.0
90,180,87,20170815,routine,3,-7.0,94.0
91,184,98,20161003,routine,4,,
92,184,90,20180213,routine,3,-8.0,98.0
93,187,89,20160511,routine,3,,
94,187,92,20170210,routine,4,3.0,89.0
95,187,96,20171128,routine,4,4.0,92.0
96,190,92,20150327,routine,4,,
97,190,100,20161206,routine,4,8.0,92.0
98,190,100,20171129,routine,4,0.0,100.0
99,192,90,20160628,routine,3,,
100,192,86,20170626,routine,3,-4.0,90.0
101,194,80,20150420,routine,2,,
102,194,84,20170919,routine,2,4.0,80.0
103,198,92,20151029,routine,4,,
104,198,94,20170130,routine,4,2.0,92.0
105,198,94,20171129,routine,4,0.0,94.0
106,200,94,20151001,routine,4,,
107,200,88,20170104,routine,3,-6.0,94.0
108,208,92,20151007,routine,4,,
109,208,90,20170731,routine,3,-2.0,92.0
110,216,94,20170629,routine,4,,
